product_id,category_name,category_value,product_title,product_url,section_type,section_label,section_text
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,positive,A코스 (유후인-히타-다자이후),"<img style=""aspect-ratio:1080/1350;"" src=""https://dry7pvlp22cox.cloudfront.net..."
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,positive,A코스 (유후인-히타-다자이후),⭐ 4.971591720199857 (리뷰 7005개)
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,positive,A코스 (유후인-히타-다자이후),마이리얼트립에서 보기
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,positive,✅ 포함 사항,"• - 가이드 관련 제반 비용 - 교통 제반 비용 (버스, 고속도로 요금, 주차비)"
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,negative,❌ 불포함 사항,• - 중식비 - 개인 경비
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,positive,📍 이용 안내,시간: 08:15
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,positive,📍 이용 안내,장소: HEARTS Bus Station Hakata
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,negative,🔄 취소 정책,본 상품은 국외여행 표준약관 제6조(특약)에 따라 일반 소비자분쟁해결기준과 다른 취소수수료가 적용됩니다. 예약 전 취소 규정을 반드시 확인해 주세요. - 여행시작 7일 전까지(~7) 통보시 : 여행 요금 전액 환불 - 여행시작 3일 전까지(6~3) 통보시 : 상...
3417851,투어,tour,[인디고트래블] 후쿠오카 유후인 벳부 히타 다자이후 버스투어 #제휴혜택까지,https://experiences.myrealtrip.com/products/3417851,positive,상품 설명 · copy_text,"**A코스 (유후인-히타-다자이후)** ⭐ 4.971591720199857 (리뷰 7005개) <img style=""aspect-ratio:1080/1350;"" src=""https://dry7pvlp22cox.cloudfront.net... **포함 사항** • - 가이드 관련 제반 비용 - 교통 제반 비용 (버스, 고속도로 요금, 주차비) **불포함 사항** • - 중식비 - 개인 경비 🔗 https://www.myrealtrip.com/traveler-experiences/3417851"
3153599,투어,tour,[🎁모찌증정&입장료포함] 매일출발 후쿠오카버스투어 다자이후 유후인 벳푸 투어 (라쿠투어),https://experiences.myrealtrip.com/products/3153599,positive,상품 설명 · ★전날짜★리뷰이벤트 특가,⭐️ 라쿠투어를 놓치면 안되는 이유...! ⭐️ 라쿠투어는 다른 후쿠오카 투어에 비해 빠르게 출발해요! 관광지 어디를 가든 혼잡도가 ...
3153599,투어,tour,[🎁모찌증정&입장료포함] 매일출발 후쿠오카버스투어 다자이후 유후인 벳푸 투어 (라쿠투어),https://experiences.myrealtrip.com/products/3153599,neutral,★전날짜★리뷰이벤트 특가,⭐ 4.925377833753148 (리뷰 3176개)
3153599,투어,tour,[🎁모찌증정&입장료포함] 매일출발 후쿠오카버스투어 다자이후 유후인 벳푸 투어 (라쿠투어),https://experiences.myrealtrip.com/products/3153599,neutral,★전날짜★리뷰이벤트 특가,마이리얼트립에서 보기
