anchor_id,city_id,city_name,anchor_name,anchor_name_local,anchor_name_en,anchor_type,official_source_type,source_url,address,lat,lng,partner_candidate_reason
official-fukuoka-yatai-cluster,jp-fukuoka,후쿠오카,후쿠오카 야타이,福岡市 屋台,Fukuoka Yatai,place_cluster,official_yatai_cluster,https://data.bodik.jp/dataset/401307_yataiopendata,福岡県福岡市,,,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122472,jp-fukuoka,후쿠오카,寅政,寅政,Toramasa,food_place,official_yatai,https://yokanavi.com/yatai/122472/,福岡県福岡市東区千早5-9,33.6555599,130.4402527,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122473,jp-fukuoka,후쿠오카,おけい,おけい,Okei,food_place,official_yatai,https://yokanavi.com/yatai/122473/,福岡県福岡市博多区中洲5,33.5948713,130.4041006,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122474,jp-fukuoka,후쿠오카,小島商店,小島商店,Kojima shoten,food_place,official_yatai,https://yokanavi.com/yatai/122474/,福岡県福岡市博多区中洲1-8（清流公園内）,33.5903239,130.4083572,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122475,jp-fukuoka,후쿠오카,伸龍,伸龍,Shinryu,food_place,official_yatai,https://yokanavi.com/yatai/122475/,福岡県福岡市博多区中洲1-8（清流公園内）,33.5904483,130.4081805,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122476,jp-fukuoka,후쿠오카,武ちゃん,武ちゃん,Takechan,food_place,official_yatai,https://yokanavi.com/yatai/122476/,福岡県福岡市博多区中洲1-8（清流公園内）,33.5901946,130.408607,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122477,jp-fukuoka,후쿠오카,呑龍,呑龍,Donryu,food_place,official_yatai,https://yokanavi.com/yatai/122477/,福岡県福岡市博多区中洲1-8（清流公園内）,33.5900745,130.4087262,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122478,jp-fukuoka,후쿠오카,ひでちゃん,ひでちゃん,Hidechan,food_place,official_yatai,https://yokanavi.com/yatai/122478/,福岡県福岡市博多区中洲1-8（清流公園内）,33.590221,130.4085471,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122480,jp-fukuoka,후쿠오카,丸十,丸十,Marujyu,food_place,official_yatai,https://yokanavi.com/yatai/122480/,福岡県福岡市博多区中洲1-8（清流公園内）,33.5902508,130.4084427,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122481,jp-fukuoka,후쿠오카,峰ちゃん,峰ちゃん,Minechan,food_place,official_yatai,https://yokanavi.com/yatai/122481/,福岡県福岡市博多区中洲1-8（清流公園内）,33.5901751,130.4086295,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122483,jp-fukuoka,후쿠오카,やまちゃん,やまちゃん,Yamachan,food_place,official_yatai,https://yokanavi.com/yatai/122483/,福岡県福岡市博多区中洲1,33.5903136,130.4084119,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122484,jp-fukuoka,후쿠오카,笑平,笑平,Shohei,food_place,official_yatai,https://yokanavi.com/yatai/122484/,福岡県福岡市博多区祇園町1-30,33.5905814,130.413007,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122485,jp-fukuoka,후쿠오카,番笠,番笠,Bangasa,food_place,official_yatai,https://yokanavi.com/yatai/122485/,福岡県福岡市博多区川端町3,33.5920499,130.4103559,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122486,jp-fukuoka,후쿠오카,ぴょん吉,ぴょん吉,Pyonkichi,food_place,official_yatai,https://yokanavi.com/yatai/122514/,福岡県福岡市博多区祇園町1-30,33.5883368,130.4011849,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122487,jp-fukuoka,후쿠오카,KENZO,KENZO,KENZO,food_place,official_yatai,https://yokanavi.com/yatai/122487/,福岡県福岡市博多区中洲5-6,33.5948564,130.4040861,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122489,jp-fukuoka,후쿠오카,とん吉,とん吉,Tonkichi,food_place,official_yatai,https://yokanavi.com/yatai/122489/,福岡県福岡市博多区中洲中島町1,33.5948478,130.4033336,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122490,jp-fukuoka,후쿠오카,風来けん坊,風来けん坊,Furaikenbo,food_place,official_yatai,https://yokanavi.com/yatai/122490/,福岡県福岡市博多区中洲5-5,33.5947965,130.4040158,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122493,jp-fukuoka,후쿠오카,宗,宗,Mune,food_place,official_yatai,https://yokanavi.com/yatai/122493/,福岡県福岡市中央区渡辺通4,33.5875734,130.4012111,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122494,jp-fukuoka,후쿠오카,ともちゃん,ともちゃん,Tomochan,food_place,official_yatai,https://yokanavi.com/yatai/122494/,福岡県福岡市中央区天神1-14,33.592901,130.4008904,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122495,jp-fukuoka,후쿠오카,こがちゃん,こがちゃん,Kogachan,food_place,official_yatai,https://yokanavi.com/yatai/122495/,福岡県福岡市中央区渡辺通4-1,33.58547,130.403227,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
official-fukuoka-yatai-122496,jp-fukuoka,후쿠오카,屋台けいじ,屋台けいじ,Keiji,food_place,official_yatai,https://yokanavi.com/yatai/122473/,福岡県福岡市中央区赤坂1,33.5948713,130.4041006,food/yatai asset; excluded from first-pass tourism-spot analysis and retained for later food/partner analysis
